vm_name,os,ram,cpu_count,volume_size,openstack_project,vcenter_name,datacenter_name,datastore_name,claster,folder
vmTEST1,Ubuntu Linux (64-bit),2048,2,20480.0,admin,vCenter,sofrecomPFE,datastore1,vmPFE,/sofrecomPFE/vm
vmTEST2,CentOS 7 (64-bit),1024,1,10240.0,admin,vCenter,sofrecomPFE,datastore1,vmPFE,/sofrecomPFE/vm
